time,demo_victim_network.S_1.port[0].vlarb.StaticFreeCreditsNum in vla
0.189460731664,8
0.18946141433,6
0.189462096996,4
0.189462779662,2
0.189463462328,0
0.1894645546,0
0.189466193,0
0.1894678314,0
0.1894694698,0
0.1894711082,0
0.1894727466,0
0.189474385,0
0.1894760234,0
0.1894776618,0
0.1894793002,0
0.1894809386,0
0.189482577,0
0.1894842154,0
0.189508001,15
0.189508683666,13
0.189509366332,11
0.189510048998,9
0.189510731664,7
0.18951141433,5
0.189512096996,3
0.189512779662,1
0.189558342333,14
0.189559024999,12
0.189559707665,10
0.189560390331,8
0.189561072997,6
0.189561755663,4
0.189562438329,2
0.189563120995,0
0.1895645546,0
0.189566193,0
0.1895678314,0
0.1895694698,0
0.1895711082,0
0.1895727466,0
0.189574385,0
0.1895760234,0
0.1895776618,0
0.1895793002,0
0.1895809386,0
0.189582577,0
0.189608001,15
0.189608683666,13
0.189609366332,11
0.189610048998,9
0.189610731664,7
0.18961141433,5
0.189612096996,3
0.189612779662,1
0.189658342333,15
0.189659024999,13
0.189659707665,11
0.189660390331,9
0.189661072997,7
0.189661755663,5
0.189662438329,3
0.189663120995,1
0.189708342333,14
0.189709024999,12
0.189709707665,10
0.189710390331,8
0.189711072997,6
0.189711755663,4
0.189712438329,2
0.189713120995,0
0.1897145546,0
0.189716193,0
0.1897178314,0
0.1897194698,0
0.1897211082,0
0.1897227466,0
0.189724385,0
0.1897260234,0
0.1897276618,0
0.1897293002,0
0.1897309386,0
0.189732577,0
0.189758001,15
0.189758683666,13
0.189759366332,11
0.189760048998,9
0.189760731664,7
0.18976141433,5
0.189762096996,3
0.189762779662,1
0.189808342333,14
0.189809024999,12
0.189809707665,10
0.189810390331,8
0.189811072997,6
0.189811755663,4
0.189812438329,2
0.189813120995,0
0.1898145546,0
0.189816193,0
0.1898178314,0
0.1898194698,0
0.1898211082,0
0.1898227466,0
0.189824385,0
0.1898260234,0
0.1898276618,0
0.1898293002,0
0.1898309386,0
0.189832577,0
0.189858001,16
0.189858683666,14
0.189859366332,12
0.189860048998,10
0.189860731664,8
0.18986141433,6
0.189862096996,4
0.189862779662,2
0.189863462328,0
0.1898645546,0
0.189866193,0
0.1898678314,0
0.1898694698,0
0.1898711082,0
0.1898727466,0
0.189874385,0
0.1898760234,0
0.1898776618,0
0.1898793002,0
0.1898809386,0
0.189882577,0
0.1898842154,0
0.189908001,15
0.189908683666,13
0.189909366332,11
0.189910048998,9
0.189910731664,7
0.18991141433,5
0.189912096996,3
0.189912779662,1
0.189958342333,14
0.189959024999,12
0.189959707665,10
0.189960390331,8
0.189961072997,6
0.189961755663,4
0.189962438329,2
0.189963120995,0
0.1899645546,0
0.189966193,0
0.1899678314,0
0.1899694698,0
0.1899711082,0
0.1899727466,0
0.189974385,0
0.1899760234,0
0.1899776618,0
0.1899793002,0
0.1899809386,0
0.189982577,0
0.190008001,15
0.190008683666,13
0.190009366332,11
0.190010048998,9
0.190010731664,7
0.19001141433,5
0.190012096996,3
0.190012779662,1
0.190058342333,15
0.190059024999,13
0.190059707665,11
0.190060390331,9
0.190061072997,7
0.190061755663,5
0.190062438329,3
0.190063120995,1
0.190108342333,14
0.190109024999,12
0.190109707665,10
0.190110390331,8
0.190111072997,6
0.190111755663,4
0.190112438329,2
0.190113120995,0
0.1901145546,0
0.190116193,0
0.1901178314,0
0.1901194698,0
0.1901211082,0
0.1901227466,0
0.190124385,0
0.1901260234,0
0.1901276618,0
0.1901293002,0
0.1901309386,0
0.190132577,0
0.190158001,15
0.190158683666,13
0.190159366332,11
0.190160048998,9
0.190160731664,7
0.19016141433,5
0.190162096996,3
0.190162779662,1
0.190208342333,14
0.190209024999,12
0.190209707665,10
0.190210390331,8
0.190211072997,6
0.190211755663,4
0.190212438329,2
0.190213120995,0
0.1902145546,0
0.190216193,0
0.1902178314,0
0.1902194698,0
0.1902211082,0
0.1902227466,0
0.190224385,0
0.1902260234,0
0.1902276618,0
0.1902293002,0
0.1902309386,0
0.190232577,0
0.190258001,16
0.190258683666,14
0.190259366332,12
0.190260048998,10
0.190260731664,8
0.19026141433,6
0.190262096996,4
0.190262779662,2
0.190263462328,0
0.1902645546,0
0.190266193,0
0.1902678314,0
0.1902694698,0
0.1902711082,0
0.1902727466,0
0.190274385,0
0.1902760234,0
0.1902776618,0
0.1902793002,0
0.1902809386,0
0.190282577,0
0.1902842154,0
0.190308001,15
0.190308683666,13
0.190309366332,11
0.190310048998,9
0.190310731664,7
0.19031141433,5
0.190312096996,3
0.190312779662,1
0.190358342333,14
0.190359024999,12
0.190359707665,10
0.190360390331,8
0.190361072997,6
0.190361755663,4
0.190362438329,2
0.190363120995,0
0.1903645546,0
0.190366193,0
0.1903678314,0
0.1903694698,0
0.1903711082,0
0.1903727466,0
0.190374385,0
0.1903760234,0
0.1903776618,0
0.1903793002,0
0.1903809386,0
0.190382577,0
0.190408001,15
0.190408683666,13
0.190409366332,11
0.190410048998,9
0.190410731664,7
0.19041141433,5
0.190412096996,3
0.190412779662,1
0.190458342333,15
0.190459024999,13
0.190459707665,11
0.190460390331,9
0.190461072997,7
0.190461755663,5
0.190462438329,3
0.190463120995,1
0.190508342333,14
0.190509024999,12
0.190509707665,10
0.190510390331,8
0.190511072997,6
0.190511755663,4
0.190512438329,2
0.190513120995,0
0.1905145546,0
0.190516193,0
0.1905178314,0
0.1905194698,0
0.1905211082,0
0.1905227466,0
0.190524385,0
0.1905260234,0
0.1905276618,0
0.1905293002,0
0.1905309386,0
0.190532577,0
0.190558001,15
0.190558683666,13
0.190559366332,11
0.190560048998,9
0.190560731664,7
0.19056141433,5
0.190562096996,3
0.190562779662,1
0.190608342333,15
0.190609024999,13
0.190609707665,11
0.190610390331,9
0.190611072997,7
0.190611755663,5
0.190612438329,3
0.190613120995,1
0.190658342333,14
0.190659024999,12
0.190659707665,10
0.190660390331,8
0.190661072997,6
0.190661755663,4
0.190662438329,2
0.190663120995,0
0.1906645546,0
0.190666193,0
0.1906678314,0
0.1906694698,0
0.1906711082,0
0.1906727466,0
0.190674385,0
0.1906760234,0
0.1906776618,0
0.1906793002,0
0.1906809386,0
0.190682577,0
0.190708001,15
0.190708683666,13
0.190709366332,11
0.190710048998,9
0.190710731664,7
0.19071141433,5
0.190712096996,3
0.190712779662,1
0.190758342333,14
0.190759024999,12
