time,demo_victim_network.H_2.gen.Throughput
0.1888,1.72032e+009
0.189,1.6384e+009
0.1892,1.6384e+009
0.1894,1.72032e+009
0.1896,1.6384e+009
0.1898,1.6384e+009
0.19,1.72032e+009
0.1902,1.6384e+009
0.1904,1.6384e+009
0.1906,1.72032e+009
0.1908,1.6384e+009
0.191,1.6384e+009
0.1912,1.72032e+009
0.1914,1.6384e+009
0.1916,1.6384e+009
0.1918,1.72032e+009
0.192,1.6384e+009
0.1922,1.72032e+009
0.1924,1.6384e+009
0.1926,1.6384e+009
0.1928,1.72032e+009
0.193,1.6384e+009
0.1932,1.6384e+009
0.1934,1.72032e+009
0.1936,1.6384e+009
0.1938,1.6384e+009
0.194,1.72032e+009
0.1942,1.6384e+009
0.1944,1.6384e+009
0.1946,1.72032e+009
0.1948,1.6384e+009
0.195,1.6384e+009
0.1952,1.72032e+009
0.1954,1.6384e+009
0.1956,1.6384e+009
0.1958,1.72032e+009
0.196,1.6384e+009
0.1962,1.6384e+009
0.1964,1.72032e+009
0.1966,1.6384e+009
0.1968,1.6384e+009
0.197,1.72032e+009
0.1972,1.6384e+009
0.1974,1.6384e+009
0.1976,1.72032e+009
0.1978,1.6384e+009
0.198,1.6384e+009
0.1982,1.72032e+009
0.1984,1.6384e+009
0.1986,1.6384e+009
0.1988,1.72032e+009
0.199,1.6384e+009
0.1992,1.72032e+009
0.1994,1.6384e+009
0.1996,1.6384e+009
0.1998,1.72032e+009
0.2,1.6384e+009
